rung,threads,rep,wall_s
R0,1,1,192.898
R0,1,2,191.886
R6,1,1,116.851
R6,1,2,115.155
R6FULL,1,1,143.105
R6FULL,1,2,144.012
R6FULL,2,1,84.0724
R6FULL,2,2,84.3177
R6FULL,4,1,51.5098
R6FULL,4,2,51.3274
R6FULL,6,1,41.4765
R6FULL,6,2,41.1471
R6FULL,8,1,36.2459
R6FULL,8,2,36.2494
R6FULL,10,1,33.3113
R6FULL,10,2,33.8424
R6FULL,12,1,31.5667
R6FULL,12,2,31.4974
R6FULL,16,1,29.2518
R6FULL,16,2,29.2135
R6FULL,20,1,27.6004
R6FULL,20,2,27.6273
R6FULL,24,1,26.8698
R6FULL,24,2,26.8859
