rung,threads,rep,wall_s
R3,1,1,187.322
R3,1,2,185.445
R4,1,1,171.047
R4,1,2,172.73
R5b,1,1,139.447
R5b,1,2,137.567
R5c,1,1,138.852
R5c,1,2,144.507
