rung,threads,rep,wall_s
R0,1,1,273.964
R0,1,2,272.174
R6,1,1,110.404
R6,1,2,110.034
R6FULL,1,1,130.331
R6FULL,1,2,130.141
R6FULL,2,1,82.0075
R6FULL,2,2,82.5074
R6FULL,4,1,54.0553
R6FULL,4,2,53.8978
R6FULL,6,1,44.4596
R6FULL,6,2,44.4334
R6FULL,8,1,39.5776
R6FULL,8,2,39.5761
R6FULL,10,1,36.7118
R6FULL,10,2,36.6763
R6FULL,12,1,34.7535
R6FULL,12,2,34.6928
R6FULL,16,1,32.4159
R6FULL,16,2,32.436
R6FULL,20,1,34.9371
R6FULL,20,2,34.8996
R6FULL,24,1,34.7725
R6FULL,24,2,34.8139
