rung,threads,rep,wall_s
R0,1,1,350.59
R0,1,2,353.061
R6,1,1,162.514
R6,1,2,162.832
R6FULL,1,1,202.529
R6FULL,1,2,202.781
R6FULL,2,1,124.909
R6FULL,2,2,125.005
R6FULL,4,1,82.2377
R6FULL,4,2,81.9665
R6FULL,6,1,70.066
R6FULL,6,2,70.2101
R6FULL,8,1,63.1307
R6FULL,8,2,63.0039
R6FULL,10,1,59.207
R6FULL,10,2,59.435
R6FULL,12,1,56.2512
R6FULL,12,2,56.3641
R6FULL,16,1,53.4872
R6FULL,16,2,53.2114
R6FULL,20,1,57.6821
R6FULL,20,2,57.6227
R6FULL,24,1,56.804
R6FULL,24,2,56.5739
