rung,threads,rep,wall_s
R0,1,1,193.904
R0,1,2,193.521
R6,1,1,115.859
R6,1,2,115.529
R6FULL,1,1,142.918
R6FULL,1,2,145.648
R6FULL,2,1,84.2182
R6FULL,2,2,84.8206
R6FULL,4,1,51.1551
R6FULL,4,2,52.0223
R6FULL,8,1,35.9498
R6FULL,8,2,36.0752
R6FULL,16,1,29.4147
R6FULL,16,2,29.2658
R6SER,1,1,144.512
R6SER,1,2,143.481
R6SER,2,1,98.1126
R6SER,2,2,97.9388
R6SER,4,1,70.3432
R6SER,4,2,70.4644
R6SER,8,1,57.4181
R6SER,8,2,58.015
R6SER,16,1,50.9817
R6SER,16,2,52.0516
